AuthorId,ConfirmedPaperIds,DeletedPaperIds
1400685,1619880 2006883 1476381 1684638 1730940 152668 1898559 359770 390350 490304 514058 1474574 624831 656970 1595976 1599200 1883117 1917489 2015334 910568 914207,1928277 1599016 2043601 70765 86025 258767 310130 323001 338006 361929 1097448 1210332 576571 1414163 1463886 1516398 1531053 636282 1760722 749451 1822718 828106 2015334 2057964 858948 873124 2196658
1168179,1065591 1648654 54252 60589 90853 1301475 1739771 1015496 242356 1556768 306277 1148341 477860 1279995 1376996 1393024 1403164 581826 1538069 1587360 1872674 802324 2175832,1065591 1648654 54252 90853 1321535 956610 1015496 177082 1381509 242356 1556768 306277 2067821 2160902 942798 965774 438431 1148341 1150499 477860 1279995 1376996 1393024 1403164 581826 608282 1525467 1538069 1587360 1648827 1713803 1716836 802324 2175832
1264644,1296466,865855
1460424,310988 1163538 803282 1998497 2016705,1389090
1534492,4446 1871402 102240 274336 319590 1178462 1731470 1755591 2114562,1447894 1584387 100744 1275078 220179 259250 1578142 1758091 323615 1919419 351455 472193 501897 1413388 621718 1668770 1954829 2173438
10147,1062491 2118070 1127262 215367 1293759 222067 2062534 945263 1093253 563198 1367592 586013 1505055 1666808 1815361 1883446 1886856 1909320 2114623 2125606 2135251 2136708 893032 2229711 923727,52958 1014656 261649 1859790 1855297 2141759
2077212,46570 1642550 344027 950686 1066379 1067007 1176513 539726 1347438 1399537 1912999 813074 2049604 2253748,459173 1313639 552466 559648 1745517 2059814
996413,1577154 1569052 1272293 1387902 598470 825873 2167413 2180729,1317453 152823 584595 1485782 1657924 1696317 1703975 2077843 2126210 880791
11931,2248058 2078020 1552703 1099621 1253173 217028 219527 1328126 1400139 271018 364510 371033 2199183 1027168 444607 445821 467500 1161214 478737 1220367 550245 1403395 587330 1433323 1485218 1530862 1584912 700853 1707614 1708875 1730483 1821148 1876372 790071 1939314 2079274 2109316 871909 896241 2190575,1247341 1872503 332818 985892 552137
1039418,174409 184410 201730 282293 1939958 1236140 1245794 766321 834499 2164656,36286 1251262
1065171,106170 1107249 1321728 1599379 1136687 622045 723308,106170
13098,226411 284747 317187 1264419 630828 843380,1687527 1480336 263766 1958185 1078058 1563565 1864407 921998
1119431,635171 1695563,625399
1481749,28116 980860 956680 1003817 82609 2039082 2105126 1438687 244458 1448241 1808955 345409 346281 2135700 2148283 375914 395053 437937 451060 516522 531605 560403 567307 593769 1528748 1651872 1691747 757904 1967166 837870 873697 898539,1919638 130037 1009829 1292306 736792 1887585
17869,1241714 470474,1987446
1571991,22784 1602820 248656 785278 870394,1555357 1297460 1062525 82391 85130 85413 1372565 131961 2238358 178952 1287824 1560729 1604731 1745982 1821140 369588 395556 974133 1034302 1074276 566806 585251 1497211 739614 752349 1852739 811631 848203 886217 912985
21713,67793 2074171 212363 1427411 1632893 306751 348005 2153442 567281 653299 1636289 1655730 834549 837083,27847 123767 1791496
1846993,1165650,53634 1045796 1830615 1518908 301377 353206 1010112 423464 551518 632807 1590151 757485
1957675,1545438 263270 1837679 822944 2092128,307634 1419532
24115,112237 1187392 205532 1719519 1558052 707078 831804,1384088
26863,1235185 555866 1563341,289872 2110927 1184851 1632606
948613,216876 1640192,5866
995963,1097281 1477405 1720765 1885985 2136726 98327 2021000 145578 1133581 1153101 1158100 1217900 1417673 1437328 258454 295460 2125422 367412 2244091 1004562 1050002 435718 1070377 471457 1639763 1660164 1680931 753581 765047 1906607 1908663 793016 793996 1933697 1937382 804200 2041537 2062366 887472 2181823 2185377 904601 2233670 925456,219094 1078942 1203967 521887
29349,261271 1076918 550204 1601466 677913 779070,1348561
30602,1483281 377575 522132 1460222 1807303 800493 803927 2032138,320071
36328,201003 202617 1292416 1427711 265989 267410 453512 1759229 767114 1939365,971958 1690940 2058194 246187 270633 1649782 1884275 363692 427545 1077406 1186867 1231827 1366380 1407345 1501974 1526117 638726 1775257 1886208 2050516 850050 2078768 911077 2218696
1320169,1073572 206856 1242002 233369 1423142 250316 359758 2163479 401816 432721 1094382 1128945 1173661 1228451 1241390 1339170 1615978 713201 1763802 1917095 1972738 812129,2051515
1327205,1785098,1376240
1453084,84496 977084 1534768 2094990,4875 10908 957917 81410 108718 2254296 162546 979591 1084618 210390 1380519 1645521 2224773 378058 1076527 1082259 450950 1122504 1269563 1347959 1485365 1557341 643992 1569196 1570454 647526 669257 1719970 743660 782689 1966356 2002608 2247021
43643,1107287 2248425 1192540 1352454 1582574 1891409 523257 571688 653648 1590117 744206 1988227,1107287 2248425 446702 1590117 744206
1597280,2207273 2236503 395353 567766 629508 745150 784620 1916439 1949730 2002973 885836 906870,966820 533099 555409
47797,312200,454360
1742948,13394 25140 1903880 61079 1149014 1251502 92009 1828053 1289644 1291906 245732 1471269 2019297 377807 1081151 1706256 1880671 782914 787126 1936559 799430 1996480 841088 2184808,1066337 129968 283661 1979466 1080782 1349124 658047 2010889
1830618,1536882 2251070 1769268 1108177 668236 891204 901906,26339 1563431 1685155 386113 976994 449856 1105348 1286335 727529 2100741 925803
52904,1091838 1082109 1763324 202907 262618 285257 1794343 1839516 2221661 390637 1302835 1418685 1623003 711418 1738589 743763 759416 771466 786348,1662868 1079155 189443 233860 314185 2022111 438297 445717 1131270 1297531 1340776 680485 1653452 1925668 802486 2110549 897803 2252679
1961343,1621401 1218025 1114816 226974 1673539 1727901 1193942 655855 689009 756606 1894087 2015966,1497374 1469321
58132,47301,1748542 1330458 704522
58885,2039735 43567 1773690 1940357 144666 1644673 281073 1734832 2028045 1004076 1038135 1052333 1144878 478422 1323381 1509459 1563594 1678683 1709164 1825514 1845506 1972867 1986650 835807 838995 898331 2214453,1732414 1661088
2164445,4199 1504471 1054288 175231 1494769 1594479 305021 351446 993297 1063953 1084225 1152390 1182786 1266778 583815 1441589 1493085 628742 1558019 1729978 717215 1766466 828616,132009 2008918
65069,249175 1476347,17509 1473789 1916530 135013 266234 2235589 463855 576584 1418721 1486757 697331 1771791 838568
2259851,942095 70458 1499047 2191143 1624694 353889 493569 757368 2145354 904495,1267663 257577 2001883 970008 1012094 1184438 1187507 1465600 628745 810975
953640,136544 228111 1720321 329120 1099083 639655 1639129 1900662 2026047 2172571,136544 228111 1720321 329120 2147359 999464 1099083 639655 1639129 772123 1900662 794454 2026047 2172571 907139
962682,1507282 737328 852795 2179967,1252822 1291216
1003502,1117568 1294267 771946,176470 433671 1472645 1631770 1683541 2084000 918245
1006652,1133373 2066517,114124 2095536 219590 1717868 1784115 310418 2220034 1055042 1133373 511415 562073 1436939 1539575 1700706 1795153 815495 1983410 2066517 872307 885860 2207870 2215403
80154,296496 1265375 1318748,1659683 2253575 1626767 1370434 1042740 1101108 281090 1695259 292456 329979 1099273 467937 1192369 595195 1521355 1532808 1725460 736252 742639 1822103 1863927 1907001 2147903
1171235,85556 199716 439947 452941 1237995 626464 694530 806822 820574 2092133 2137327,1463793 1336477 1059512 85556 1116186 1143702 199716 1317237 1476063 293712 356519 2200969 430653 439947 444007 1084459 1086077 452941 1220203 1233612 1237995 515597 519104 525041 1451300 1505304 626464 694530 806822 820574 2013046 2067835 2092133 2096071 2137327 911787
83112,42548 1819404 115292 124942 173481 1296545 1553350 1741230 371823 1445753 1456926 1498886 639986 734129 793467 868916,1453301 570821 598653
1262156,1148021 1376079 1637682 1520186 167015 1166917 1192097 1299853 244628 1445867 982427 435184 461238 481570 1554523 1714337 773956 1937764 800338 812240 823848 2068448 2105840 2123357 2209400 2211093 2255453,1475401 2057323 152946 1806008 1245672 1288606 1569162 1825672 1861213 1878511 1912519
1278982,267479,114233 2090252 1535597 476720 548893
1297646,130935 2044457,352837 1095576 535095
1314604,68341 412591 441219 1659748 780736,361990 1668614 910151
91904,1109139 2155535 88790 91285 1686842 1189953 942122 394603 408849 432020 1092720 1118273 537401 582205 586939 1962731 2012799 2032451 852859 2199366,1148848 539314 777559 1890557 2216027
93603,1424772 23178 2106835 1157493 88476 1328323 147474 1196375 1398100 243528 1638164 2209854 376972 391683 392722 529033 1284505 1394375 1395125 594055 1632473 1657206 1657961 1665951 1729613 771565 785661 1909072 802727 854948 2085773 2201708 922335,20456 1631141 1767699 952974 984138 615382 1925442 864779
1362718,1903957 1463060 1503941 107278 1703060 2127369 1132326 246548 1890992 387992 468046 474449 1561861 1741097 1751074 1978457 865546 923700,23221 29143 1167276 2066382 1082064 1136673 1431553 1599245 1870777 321275 2014111 380371 1064788 471974 506591 1517749 663451 703425 1793461 796692 798867 830845 872492
1405873,16469 935222 164390 172162 195331 1194468 205196 230951 259564 1591374 1767946 312240 325801 2135969 989217 409285 479566 1309528 1378329 1395418 1420162 1539718 1546137 654579 667407 1633959 1684960 701454 758877 1878744 1969085 2016214 2052528 855420 857816 2190823 910524,1194468 261525 1048538 1102991 1674057 731601 2071803 912990
1445129,1077105 1262832 1377591 703391 888272,1920234 1876974 1537911 399147 478455 1365553 852722
105387,2080980 62006 285663 2199753 2243123 399118 1196777 1355003 1522199 1532434 1745903 1759306 726108 1767854 1803927 1862586 896614 2258057,1175129 292069 1949788 1322139 574305 1560172 648551 1579182 1691972 1752418
1517587,4874 1689257 201760 223527 1804338 500418 1268850 1335191 1457804 614835 662251 757732 1892984 790742 1923224 1954509 2160924 2182387 2248394,339564 1931516
1520355,1652069 2039790 1070400 1247889 545967 1459431 1540510 1797191 1903323 1970518 911916,328127 1270214
106426,2224760 1508080 2195306 2218071 20013 35531 1113619 1454168 1591560 123254 195916 1630678 340385 2057360 2158254 458531 622285 1513577 706335 1725063 860527 2133445,97250 394496 408476 487673 562437 744363 1854643 2208109
1588952,973035 1371962 76999 86714 1346731 990760 1019835 1535313 1593265 1982881 2090888 365855 416024 1277183 552924 1419919 1461289 1554400 683131 1659042 713310 1878993 1879599 1967905 2054478 2056466,1232007 1398078 488383 488482
111200,59693 1415565 961776 406372 1076908 448670 1090960 1130875 1234609 1240321 689038 1711945 746310 800558,1074107 2105463 872512
1605323,518549 575581 2051194 856615,495128 1974695
114866,53091 1729217 135626 351579 956681 1047867 1241146 1329681 641950 767291 1978303 819420,1624358
114885,1247564 1248478 53356 1167833 1379928 789953,1469012 29725 1766562 55286 1970046 2192127 1327439 1554191 111103 1689401 140792 243838 310795 1903367 2076076 375664 380764 382097 968144 993002 1137513 1139075 1281845 1352769 1476579 632426 641832 1586970 1594962 1607080 1647216 724520 1798573 750774 761011 1939514 1974819 2173294
1660546,59439 89173 135999 2030338 1059907 1146411 1480189 1788180 1006492 567997 577433 1639593 679995 1811744 786346 2001923,1039366 130774 2165964 240792 1064187 1549312 1650303 2114061 2194166
1661475,28150 45352 78242 1178478 933110 977976 180275 220926 1406915 335626 2156920 984564 1025617 1090606 1402678 584918 584962 1491898 1494181 1501465 1548360 1924417 825016 2197568,210900 258979 543596 1477178 1686561 791602 2019263
1691043,2006883 107381 1979383 1853685 359010 368581 413142 1184611 536272 539189 624831 657475 1742689 720023 1787950 1812926 2015334 2076943,2043601 1589276
1762485,4340 1071539 974961 1100306 1117891 1127905 1204043 130263 148541 1053498 222972 256347 313404 2105501 2221308 2231440 444826 455736 483114 1204102 1316403 554621 556813 1389352 592153 1455666 1478915 616539 1556084 1560540 1751567 1751790 1800219 1920647 1933798 1953114 2034905 876872,3646 138229 212117 263767 603316 1502912 635081 781264 2130065
1803836,63877 767533,1278405 782238
1835482,2255562 50669 59923 988894 119308 133715 138859 2238916 939786 963651 1124719 208431 1484373 382147 946964 953904 1058638 1188417 495977 518203 523788 539086 1378060 1407478 1456630 1494685 1502501 627078 648895 1581553 1595071 677420 707406 1736528 1958920 827159 2012593 838987 840124 2213517,412022 1146241 539973 1405810 2015444 859439
132904,39502 95454 994347 1524855 347823 760013 776765,1982556
1908993,159988 1477834 1823003 1958970 1351477,1605037 1808413 1699912 213471 1310199 2236941 1446261 1491770 788291
1911803,1717860 305351 405728 1329777 1815831 872985 2140519,1118619 1381717 49899 51105 85984 1255446 100125 1503398 959511 1184884 1336538 1639992 1947594 361443 944579 458488 1128739 1225220 531420 594309 601390 1478661 1498654 1596200 671741 671926 680462 680519 1696057 721501 1825781 1894599 1912705 810724 2121433 906327
1916366,1074436 26934 1453703 48472 2021094 84472 1268616 153962 1054881 201297 1320487 307454 2009742 376784 384913 455681 1125142 1140665 474353 1204446 502805 1253671 1331566 1389978 577448 1416603 1539029 1731051 1820568 800960 2050208 861269 867347 2187817 917633,120137 1950868 2043642 157096 183770 208045 1914342 1258671 613034 804655 926417
1961381,99235 1423768 1779117 480189 1199261 523049 571609 1540008 1596329 1613020,255009 440914
140210,1776167 1428856 236546 249864 940009 518168 1341754 1347883 1490518 1766031 1819796 1940410 822239 2126298 2194571,1688265 754649 870729
141295,59047 166457 1497954 1534634 1946894,8793 162180 2146783 1165091 1239707 1350866 1504232 2177340 928681
145128,1451100 310370 366640 367041 385533 1014171 1055420 452149 1139747 524631 541462 1402974 595688 1656239 716174 816655 2071416 900636,63113 1677212 1080996 1115277 501537 527567 1436111 1760916 748833 1950548 825791 2095805
2085332,183569 949127 1136600 784062,1158585 1292550 248426 1625285 321672 1063286 1150450 1285551 634589 1620602 771298 785010 799774 925215
148020,984327 1645381,167366 961775
2129345,939745,939745
2149862,2102137 1924300 457186 487872 1442357,2095049
2212136,1191882 1414161 1490640 1819388 1896681 140708 150212 1126480 1252996 295690 1821651 2045461 458777 1132002 1206035 1227898 1342129 620089 1530451 656619 1631889 681977 692067 1792619 759340 831332,2188570 1763893 2126969 376077 960263 1226249 1710622 1882315 804191 2159856 2252912
154905,69381 1347500 959305 1214533 1265851 1496675 683243 691706 2046661,1574271 55196 191484 2008572 341068 2214693 941903 1119688 1152884 1249606 524844 1638798 813818 924931
156566,1106201 1714991 50607 990819 407462 1016803 669328 2110372,990819
159595,1335057 27093 1047232 111658 2220643 1001637 187811 1178585 218167 1445761 295014 1857193 1967178 386549 1039887 1060029 440775 1278493 532506 1315371 583260 1451774 1461633 1499104 619476 628162 647292 1624888 1636857 1680665 1688022 1743990 724056 740034 1819037 1914482 1931901 2028937 2054448 2188082 2197407,1255585
948862,2223273 936052 1427543 326912 1237110 1320796 689813 691897 1826852 2083003,14281 101109 1951009 1608938
960858,1223482 1075491 200051 1418748 288624 1720517 1797668 1897280 2132985 939600 413172 1323542 714322 1993750,1057311 23344 427839 1369444 605806 1671853 811973
168422,1274759 178028 323267 346313 2067069 2126749 964033 424898 1104044 1118763 1130458 530851 547632 1369261 1468549 1645360 690627 1711928 1822224 845028 863946 2179611 2213317,2218126 837169
999182,1244158 13630 1206318 1206318 1973770 1056475 185188 191983 195838 1287373 1299734 1336444 1395918 1485901 1665429 1856860 1869042 2042867 2121775 2152673 2193585 2207816 375363 402453 1141321 1240378 1269624 1363800 1417588 1480290 630510 1543093 657523 1634645 1647833 1680515 1719547 787622 2036703 873895 875717 915506,1206318 1103557
1008237,1393682 78833 1194188 1411463 933259 171969 1026998 177482 225245 1330511 1503464 294862 373332 951216 959080 1169420 1288157 546941 580773 1490635 1572961 684591 713588 733960 1913183 845302 2063727 2223799 2258922,9441 72216 1201859 216376 271839 354542 2149940 407607 1041449 1043883 1120121 513564 521379 1279171 1347505 1512159 1540901 1553665 655303 1731138 1841120 1880674 1908967 1940559 1944610 820794 915289
1009603,59995 86126 1962209 934717 1018961 1100161 847626 854583,1745319 685343
171906,1729039,220673 1519734
173674,1961886 1028316 1063641 1007963 214950 1340768 1368198 1630344 312384 717150 1898237,1383757 729230
176589,1581166,487723
1061772,60107 99299 1513517 167820 1175107 206178 1694338 374166 391874 1217797 529843 1310442 1730530 1830291 2083851 864231,16948 1835271 1688367 964045 1025099 1979317 182718 1364618 271547 1785649 335227 1148091 473385 1176122 1177592 1242430 551253 1377532 685531 685921 1717389 740622 1800723 1826685 1887011 790615 921980
1062785,67839 1360883 243430 245303 1935013 330892 2138135 471031 1512280 1610775 711615 837941 868094 2209287,2138135 1610775
1072632,1762270 1453726 915320,349485 656379 1855388 797670
1090551,2070494 1081990 1598245 1598476 1265729 1970734 95045 1928847 152023 171061 183872 1147933 195617 1533437 313110 2083218 2085323 2205858 2232924 461101 512740 1259787 1293574 580554 1413047 1424233 1449026 1631838 691240 715175 1810191 1817415 1835475 1853745 1859528 1863011 1877571 1981787 2070413 887232 2183614 917210,121538 482810 1526681 800901
